"Perioden";"Regio's";"Vestiging in de gemeente /Vestiging vanuit een andere gemeente (aantal)";"Vestiging in de gemeente /Immigratie (aantal)";"Vertrek uit de gemeente/Vertrek naar andere gemeente (aantal)";"Vertrek uit de gemeente/Emigratie inclusief adm. correcties (aantal)"
"2019";"Axel";;;;
"2020";"Axel";;;;
"2021";"Axel";;;;
"2022";"Axel";;;;
"2023";"Axel";;;;
"2002";"Baarle-Nassau";264;35;193;70
"2003";"Baarle-Nassau";271;48;180;82
"2004";"Baarle-Nassau";257;46;186;79
"2005";"Baarle-Nassau";340;55;212;93
"2006";"Baarle-Nassau";244;45;179;63
"2007";"Baarle-Nassau";199;87;198;75
"2008";"Baarle-Nassau";231;70;178;108
"2009";"Baarle-Nassau";241;84;181;99
"2010";"Baarle-Nassau";208;76;191;84
"2011";"Baarle-Nassau";170;78;172;44
"2012";"Baarle-Nassau";179;55;196;60
"2013";"Baarle-Nassau";203;85;265;90
"2014";"Baarle-Nassau";240;56;214;63
"2015";"Baarle-Nassau";233;65;226;44
"2016";"Baarle-Nassau";275;68;236;55
"2017";"Baarle-Nassau";371;89;260;49
"2018";"Baarle-Nassau";320;81;284;50
"2019";"Baarle-Nassau";307;79;303;64
"2020";"Baarle-Nassau";366;67;265;88
"2021";"Baarle-Nassau";332;57;254;66
"2022";"Baarle-Nassau";336;97;224;42
"2023";"Baarle-Nassau";330;91;267;113
"2002";"Baarn";1066;143;1085;127
"2003";"Baarn";1065;141;969;131
"2004";"Baarn";1105;78;1100;161
"2005";"Baarn";1168;94;1073;115
"2006";"Baarn";1082;133;1192;127
"2007";"Baarn";1080;115;1053;113
"2008";"Baarn";1006;119;1036;119
"2009";"Baarn";946;130;922;110
"2010";"Baarn";898;162;883;93
"2011";"Baarn";1037;99;909;179
"2012";"Baarn";940;117;918;104
"2013";"Baarn";1016;111;871;122
"2014";"Baarn";1214;156;1074;130
"2015";"Baarn";1214;143;1046;107
"2016";"Baarn";1203;161;1147;128
"2017";"Baarn";1288;188;1134;113
"2018";"Baarn";1101;165;951;110
"2019";"Baarn";1181;188;1074;111
"2020";"Baarn";1257;125;1231;81
"2021";"Baarn";1343;144;1194;85
"2022";"Baarn";1217;258;1076;127
"2023";"Baarn";1245;175;1110;140
"2002";"Barendrecht";2766;114;1196;77
"2003";"Barendrecht";2298;95;1250;107
"2004";"Barendrecht";3057;77;1314;112
"2005";"Barendrecht";3112;91;1402;178
"2006";"Barendrecht";3190;122;1718;153
"2007";"Barendrecht";3468;150;1807;222
"2008";"Barendrecht";2517;149;1902;179
"2009";"Barendrecht";2014;197;1791;147
"2010";"Barendrecht";1731;195;1657;173
"2011";"Barendrecht";1714;158;1691;185
"2012";"Barendrecht";1863;144;1755;203
"2013";"Barendrecht";1679;147;1797;218
"2014";"Barendrecht";1743;206;1832;198
"2015";"Barendrecht";2119;194;1926;207
"2016";"Barendrecht";2483;182;2129;231
"2017";"Barendrecht";2293;216;2283;189
"2018";"Barendrecht";2256;221;2200;198
"2019";"Barendrecht";2172;239;2277;187
"2020";"Barendrecht";2307;231;2473;150
"2021";"Barendrecht";2235;169;2280;142
"2022";"Barendrecht";2166;322;2232;208
"2023";"Barendrecht";1912;252;2129;185
"2002";"Barneveld";1576;296;1595;289
"2003";"Barneveld";1813;265;1610;275
"2004";"Barneveld";1601;215;1911;323
"2005";"Barneveld";1556;179;1565;174
"2006";"Barneveld";1753;172;1638;199
"2007";"Barneveld";1735;166;1519;229
"2008";"Barneveld";1850;234;1718;213
"2009";"Barneveld";1508;170;1531;159
"2010";"Barneveld";1537;185;1524;129
"2011";"Barneveld";1443;177;1454;161
"2012";"Barneveld";1455;160;1634;132
"2013";"Barneveld";1468;149;1512;117
"2014";"Barneveld";1794;159;1648;169
"2015";"Barneveld";1945;196;1656;152
"2016";"Barneveld";2244;178;1695;161
"2017";"Barneveld";2352;256;1844;209
"2018";"Barneveld";2050;216;1916;137
"2019";"Barneveld";2551;249;1838;207
"2020";"Barneveld";2274;248;1869;131
"2021";"Barneveld";2160;234;2030;170
"2022";"Barneveld";2052;740;1824;260
"2023";"Barneveld";2378;362;1927;247
"2002";"Bathmen";188;14;174;7
"2003";"Bathmen";226;3;190;16
"2004";"Bathmen";179;10;210;8
"2005";"Bathmen";;;;
"2006";"Bathmen";;;;
"2007";"Bathmen";;;;
"2008";"Bathmen";;;;
"2009";"Bathmen";;;;
"2010";"Bathmen";;;;
"2011";"Bathmen";;;;
"2012";"Bathmen";;;;
"2013";"Bathmen";;;;
"2014";"Bathmen";;;;
"2015";"Bathmen";;;;
"2016";"Bathmen";;;;
"2017";"Bathmen";;;;
"2018";"Bathmen";;;;
"2019";"Bathmen";;;;
"2020";"Bathmen";;;;
"2021";"Bathmen";;;;
"2022";"Bathmen";;;;
"2023";"Bathmen";;;;
"2002";"Bedum";328;31;440;23
"2003";"Bedum";342;23;449;14
"2004";"Bedum";332;15;439;22
"2005";"Bedum";352;18;446;12
"2006";"Bedum";403;21;496;15
"2007";"Bedum";344;17;422;11
"2008";"Bedum";367;22;487;18
"2009";"Bedum";332;31;393;17
"2010";"Bedum";397;31;389;9
"2011";"Bedum";391;23;412;13
"2012";"Bedum";381;25;370;7
"2013";"Bedum";387;24;453;28
"2014";"Bedum";397;24;486;21
"2015";"Bedum";459;20;474;28
"2016";"Bedum";520;22;468;16
"2017";"Bedum";450;24;460;20
"2018";"Bedum";431;24;417;26
"2019";"Bedum";;;;
"2020";"Bedum";;;;
"2021";"Bedum";;;;
"2022";"Bedum";;;;
"2023";"Bedum";;;;
"2002";"Beek (L.)";667;80;718;128
"2003";"Beek (L.)";785;66;728;104
"2004";"Beek (L.)";650;48;688;93
"2005";"Beek (L.)";749;66;794;107
"2006";"Beek (L.)";648;57;783;103
"2007";"Beek (L.)";715;78;705;99
"2008";"Beek (L.)";672;68;704;92
"2009";"Beek (L.)";663;68;685;65
"2010";"Beek (L.)";646;57;665;71
"2011";"Beek (L.)";593;59;687;34
"2012";"Beek (L.)";620;60;692;53
"2013";"Beek (L.)";622;74;673;70
"2014";"Beek (L.)";634;82;686;78
"2015";"Beek (L.)";672;63;747;88
"2016";"Beek (L.)";716;108;838;82
"2017";"Beek (L.)";762;60;781;66
"2018";"Beek (L.)";854;103;827;59
"2019";"Beek (L.)";722;84;770;68
"2020";"Beek (L.)";839;76;754;87
"2021";"Beek (L.)";788;63;793;75
"2022";"Beek (L.)";867;336;717;110
"2023";"Beek (L.)";828;308;759;236
"2002";"Beekdaelen";;;;
"2003";"Beekdaelen";;;;
"2004";"Beekdaelen";;;;
"2005";"Beekdaelen";;;;
"2006";"Beekdaelen";;;;
"2007";"Beekdaelen";;;;
"2008";"Beekdaelen";;;;
"2009";"Beekdaelen";;;;
"2010";"Beekdaelen";;;;
"2011";"Beekdaelen";;;;
"2012";"Beekdaelen";;;;
"2013";"Beekdaelen";;;;
"2014";"Beekdaelen";;;;
"2015";"Beekdaelen";;;;
"2016";"Beekdaelen";;;;
"2017";"Beekdaelen";;;;
"2018";"Beekdaelen";;;;
"2019";"Beekdaelen";1954;183;1672;135
"2020";"Beekdaelen";1999;162;1730;123
"2021";"Beekdaelen";1950;156;1864;164
"2022";"Beekdaelen";1815;315;1666;227
"2023";"Beekdaelen";1751;238;1723;193
"2002";"Beemster";319;11;384;19
"2003";"Beemster";306;17;330;20
"2004";"Beemster";360;15;382;39
"2005";"Beemster";334;18;351;43
"2006";"Beemster";292;27;346;30
"2007";"Beemster";320;26;362;20
"2008";"Beemster";428;29;332;39
"2009";"Beemster";315;23;319;19
"2010";"Beemster";295;19;297;42
"2011";"Beemster";407;34;286;24
"2012";"Beemster";386;28;347;30
"2013";"Beemster";429;35;323;27
"2014";"Beemster";367;11;377;33
"2015";"Beemster";412;23;357;35
"2016";"Beemster";670;30;453;27
"2017";"Beemster";669;27;369;18
"2018";"Beemster";623;25;453;23
"2019";"Beemster";683;30;468;15
"2020";"Beemster";561;19;487;25
"2021";"Beemster";1037;30;466;30
"2022";"Beemster";;;;
"2023";"Beemster";;;;
"2002";"Beesel";334;34;346;38
"2003";"Beesel";299;31;449;45
"2004";"Beesel";400;20;346;44
"2005";"Beesel";479;43;421;46
"2006";"Beesel";408;47;330;48
"2007";"Beesel";379;38;403;67
"2008";"Beesel";461;57;332;66
"2009";"Beesel";406;47;304;67
"2010";"Beesel";333;35;373;59
"2011";"Beesel";351;54;452;63
"2012";"Beesel";347;55;414;49
"2013";"Beesel";330;35;405;31
"2014";"Beesel";336;39;447;40
"2015";"Beesel";327;52;443;36
"2016";"Beesel";453;59;426;46
"2017";"Beesel";461;63;446;26
"2018";"Beesel";502;50;425;39
"2019";"Beesel";425;47;446;42
"2020";"Beesel";479;39;474;53
"2021";"Beesel";396;53;391;42
"2022";"Beesel";388;127;412;48
"2023";"Beesel";413;86;475;59
"2002";"Bellingwedde";489;79;554;49
"2003";"Bellingwedde";515;61;501;27
"2004";"Bellingwedde";468;96;486;55
"2005";"Bellingwedde";556;99;534;41
"2006";"Bellingwedde";493;34;644;58
"2007";"Bellingwedde";687;58;560;182
"2008";"Bellingwedde";441;57;648;49
"2009";"Bellingwedde";464;67;433;51
"2010";"Bellingwedde";556;169;531;24
"2011";"Bellingwedde";461;102;561;79
"2012";"Bellingwedde";415;54;597;123
"2013";"Bellingwedde";389;30;388;40
"2014";"Bellingwedde";485;462;643;30
"2015";"Bellingwedde";534;262;868;53
"2016";"Bellingwedde";679;208;829;53
"2017";"Bellingwedde";620;79;663;69
"2018";"Bellingwedde";;;;
"2019";"Bellingwedde";;;;
"2020";"Bellingwedde";;;;
"2021";"Bellingwedde";;;;
"2022";"Bellingwedde";;;;
"2023";"Bellingwedde";;;;
"2002";"Bemmel";1486;74;1115;122
"2003";"Bemmel";;;;
"2004";"Bemmel";;;;
"2005";"Bemmel";;;;
"2006";"Bemmel";;;;
"2007";"Bemmel";;;;
"2008";"Bemmel";;;;
"2009";"Bemmel";;;;
"2010";"Bemmel";;;;
"2011";"Bemmel";;;;
"2012";"Bemmel";;;;
"2013";"Bemmel";;;;
"2014";"Bemmel";;;;
"2015";"Bemmel";;;;
"2016";"Bemmel";;;;
"2017";"Bemmel";;;;
"2018";"Bemmel";;;;
"2019";"Bemmel";;;;
"2020";"Bemmel";;;;
"2021";"Bemmel";;;;
"2022";"Bemmel";;;;
"2023";"Bemmel";;;;
"2002";"Bennebroek";272;22;283;11
"2003";"Bennebroek";288;38;342;18
"2004";"Bennebroek";332;29;359;31
"2005";"Bennebroek";294;13;264;26
"2006";"Bennebroek";320;25;266;14
"2007";"Bennebroek";256;12;263;29
"2008";"Bennebroek";331;13;222;12
"2009";"Bennebroek";;;;
"2010";"Bennebroek";;;;
"2011";"Bennebroek";;;;
"2012";"Bennebroek";;;;
"2013";"Bennebroek";;;;
"2014";"Bennebroek";;;;
"2015";"Bennebroek";;;;
"2016";"Bennebroek";;;;
"2017";"Bennebroek";;;;
"2018";"Bennebroek";;;;
"2019";"Bennebroek";;;;
"2020";"Bennebroek";;;;
"2021";"Bennebroek";;;;
"2022";"Bennebroek";;;;
"2023";"Bennebroek";;;;
"2002";"Berg en Dal";;;;
"2003";"Berg en Dal";;;;
"2004";"Berg en Dal";;;;
"2005";"Berg en Dal";;;;
"2006";"Berg en Dal";;;;
"2007";"Berg en Dal";;;;
"2008";"Berg en Dal";;;;
"2009";"Berg en Dal";;;;
"2010";"Berg en Dal";;;;
"2011";"Berg en Dal";;;;
"2012";"Berg en Dal";;;;
"2013";"Berg en Dal";;;;
"2014";"Berg en Dal";;;;
"2015";"Berg en Dal";;;;
"2016";"Berg en Dal";1699;226;1413;142
"2017";"Berg en Dal";1712;200;1575;162
"2018";"Berg en Dal";1634;208;1440;183
"2019";"Berg en Dal";1720;201;1391;175
"2020";"Berg en Dal";1560;173;1418;129
"2021";"Berg en Dal";1481;156;1373;150
"2022";"Berg en Dal";1511;594;1268;181
"2023";"Berg en Dal";1664;319;1418;259
"2002";"Bergambacht";293;22;338;35
"2003";"Bergambacht";327;12;317;31
"2004";"Bergambacht";262;17;302;25
"2005";"Bergambacht";376;11;292;29
"2006";"Bergambacht";359;17;316;35
"2007";"Bergambacht";360;8;355;21
"2008";"Bergambacht";402;22;303;40
"2009";"Bergambacht";314;25;292;19
"2010";"Bergambacht";272;29;267;17
"2011";"Bergambacht";349;35;303;31
"2012";"Bergambacht";315;40;338;5
"2013";"Bergambacht";400;49;382;32
"2014";"Bergambacht";418;54;370;27
"2015";"Bergambacht";;;;
"2016";"Bergambacht";;;;
"2017";"Bergambacht";;;;
"2018";"Bergambacht";;;;
"2019";"Bergambacht";;;;
"2020";"Bergambacht";;;;
"2021";"Bergambacht";;;;
"2022";"Bergambacht";;;;
"2023";"Bergambacht";;;;
"2002";"Bergeijk";410;69;367;106
"2003";"Bergeijk";395;47;399;106
"2004";"Bergeijk";459;47;502;99
"2005";"Bergeijk";467;58;464;152
"2006";"Bergeijk";511;52;544;95
"2007";"Bergeijk";482;61;491;121
"2008";"Bergeijk";516;85;539;142
"2009";"Bergeijk";475;75;510;92
"2010";"Bergeijk";462;81;453;83
"2011";"Bergeijk";498;91;496;55
"2012";"Bergeijk";541;90;508;62
"2013";"Bergeijk";550;86;498;93
"2014";"Bergeijk";511;117;617;72
"2015";"Bergeijk";643;140;612;107
"2016";"Bergeijk";663;140;620;91
"2017";"Bergeijk";694;156;666;104
"2018";"Bergeijk";698;172;673;120
"2019";"Bergeijk";752;183;671;126
"2020";"Bergeijk";701;132;623;93
"2021";"Bergeijk";792;146;681;138
"2022";"Bergeijk";662;239;539;123
"2023";"Bergeijk";646;204;542;183
"2002";"Bergen (L.)";327;60;381;89
"2003";"Bergen (L.)";350;57;347;65
"2004";"Bergen (L.)";403;36;333;46
"2005";"Bergen (L.)";384;48;348;58
"2006";"Bergen (L.)";377;42;407;66
"2007";"Bergen (L.)";402;57;463;76
"2008";"Bergen (L.)";374;53;405;101
"2009";"Bergen (L.)";376;68;438;55
"2010";"Bergen (L.)";303;132;414;51
"2011";"Bergen (L.)";379;82;477;57
"2012";"Bergen (L.)";389;67;404;74
"2013";"Bergen (L.)";315;44;335;35
"2014";"Bergen (L.)";330;57;413;44
"2015";"Bergen (L.)";397;47;388;74
"2016";"Bergen (L.)";424;59;416;35
"2017";"Bergen (L.)";445;56;440;39
"2018";"Bergen (L.)";457;64;412;30
"2019";"Bergen (L.)";435;86;468;50
"2020";"Bergen (L.)";492;76;451;44
"2021";"Bergen (L.)";472;76;469;49
"2022";"Bergen (L.)";480;88;441;66
"2023";"Bergen (L.)";484;85;450;44
"2002";"Bergen (NH.)";1278;291;1366;304
"2003";"Bergen (NH.)";1334;223;1148;321
"2004";"Bergen (NH.)";1349;223;1249;271
"2005";"Bergen (NH.)";1395;168;1285;331
"2006";"Bergen (NH.)";1265;148;1257;229
"2007";"Bergen (NH.)";1199;173;1115;240
"2008";"Bergen (NH.)";1197;246;1162;175
"2009";"Bergen (NH.)";1007;250;1119;161
"2010";"Bergen (NH.)";1070;305;1119;167
"2011";"Bergen (NH.)";1059;269;1034;271
"2012";"Bergen (NH.)";1021;201;1044;257
"2013";"Bergen (NH.)";1101;208;1119;188
"2014";"Bergen (NH.)";1164;270;1137;168
"2015";"Bergen (NH.)";1349;325;1288;197
"2016";"Bergen (NH.)";1468;249;1382;184
"2017";"Bergen (NH.)";1559;213;1238;148
"2018";"Bergen (NH.)";1401;226;1185;142
"2019";"Bergen (NH.)";1283;247;1281;104
"2020";"Bergen (NH.)";1474;197;1323;142
"2021";"Bergen (NH.)";1366;212;1189;120
"2022";"Bergen (NH.)";1475;544;1101;187
"2023";"Bergen (NH.)";1390;274;1307;275
"2002";"Bergen op Zoom";1878;442;1867;397
"2003";"Bergen op Zoom";1817;424;1900;404
"2004";"Bergen op Zoom";1813;347;1902;265
"2005";"Bergen op Zoom";1816;317;2110;574
"2006";"Bergen op Zoom";1776;343;2135;332
"2007";"Bergen op Zoom";1823;392;1947;463
"2008";"Bergen op Zoom";2021;545;1935;371
"2009";"Bergen op Zoom";1869;489;1709;401
"2010";"Bergen op Zoom";1893;458;1758;433
"2011";"Bergen op Zoom";1836;525;1856;516
"2012";"Bergen op Zoom";1774;472;1713;411
"2013";"Bergen op Zoom";1796;501;1819;394
"2014";"Bergen op Zoom";1898;459;1941;529
"2015";"Bergen op Zoom";1954;461;1940;519
"2016";"Bergen op Zoom";2080;470;2084;488
"2017";"Bergen op Zoom";2328;476;2143;412
"2018";"Bergen op Zoom";2441;554;2090;400
"2019";"Bergen op Zoom";2518;618;2065;394
"2020";"Bergen op Zoom";2260;584;2356;299
"2021";"Bergen op Zoom";2394;593;2068;431
"2022";"Bergen op Zoom";2532;981;1921;528
"2023";"Bergen op Zoom";2698;920;2102;513
"2002";"Bergh";582;80;582;131
"2003";"Bergh";511;82;584;86
"2004";"Bergh";549;65;570;91
"2005";"Bergh";;;;
"2006";"Bergh";;;;
"2007";"Bergh";;;;
"2008";"Bergh";;;;
"2009";"Bergh";;;;
"2010";"Bergh";;;;
"2011";"Bergh";;;;
"2012";"Bergh";;;;
"2013";"Bergh";;;;
"2014";"Bergh";;;;
"2015";"Bergh";;;;
"2016";"Bergh";;;;
"2017";"Bergh";;;;
"2018";"Bergh";;;;
"2019";"Bergh";;;;
"2020";"Bergh";;;;
"2021";"Bergh";;;;
"2022";"Bergh";;;;
"2023";"Bergh";;;;
"2002";"Bergschenhoek";2168;62;527;54
"2003";"Bergschenhoek";762;48;591;102
"2004";"Bergschenhoek";678;92;547;91
"2005";"Bergschenhoek";978;84;688;98
"2006";"Bergschenhoek";742;76;809;75
"2007";"Bergschenhoek";;;;
"2008";"Bergschenhoek";;;;
"2009";"Bergschenhoek";;;;
"2010";"Bergschenhoek";;;;
"2011";"Bergschenhoek";;;;
"2012";"Bergschenhoek";;;;
"2013";"Bergschenhoek";;;;
"2014";"Bergschenhoek";;;;
"2015";"Bergschenhoek";;;;
"2016";"Bergschenhoek";;;;
"2017";"Bergschenhoek";;;;
"2018";"Bergschenhoek";;;;
"2019";"Bergschenhoek";;;;
"2020";"Bergschenhoek";;;;
"2021";"Bergschenhoek";;;;
"2022";"Bergschenhoek";;;;
"2023";"Bergschenhoek";;;;
"2002";"Berkel en Rodenrijs";859;75;739;44
"2003";"Berkel en Rodenrijs";949;31;709;55
"2004";"Berkel en Rodenrijs";1143;42;724;57
"2005";"Berkel en Rodenrijs";1752;63;774;55
"2006";"Berkel en Rodenrijs";2126;73;792;61
"2007";"Berkel en Rodenrijs";;;;
"2008";"Berkel en Rodenrijs";;;;
"2009";"Berkel en Rodenrijs";;;;
"2010";"Berkel en Rodenrijs";;;;
"2011";"Berkel en Rodenrijs";;;;
"2012";"Berkel en Rodenrijs";;;;
"2013";"Berkel en Rodenrijs";;;;
"2014";"Berkel en Rodenrijs";;;;
"2015";"Berkel en Rodenrijs";;;;
"2016";"Berkel en Rodenrijs";;;;
"2017";"Berkel en Rodenrijs";;;;
"2018";"Berkel en Rodenrijs";;;;
"2019";"Berkel en Rodenrijs";;;;
"2020";"Berkel en Rodenrijs";;;;
"2021";"Berkel en Rodenrijs";;;;
"2022";"Berkel en Rodenrijs";;;;
"2023";"Berkel en Rodenrijs";;;;
"2002";"Berkelland";;;;
"2003";"Berkelland";;;;
"2004";"Berkelland";;;;
"2005";"Berkelland";1373;79;1339;136
"2006";"Berkelland";1299;100;1484;126
"2007";"Berkelland";1321;84;1432;103
"2008";"Berkelland";1293;100;1339;136
"2009";"Berkelland";1197;110;1398;105
"2010";"Berkelland";1127;100;1292;94
"2011";"Berkelland";1238;113;1226;91
"2012";"Berkelland";1188;113;1287;99
"2013";"Berkelland";1188;89;1256;65
"2014";"Berkelland";1135;126;1409;103
"2015";"Berkelland";1292;198;1266;76
"2016";"Berkelland";1222;139;1395;75
"2017";"Berkelland";1360;92;1421;94
"2018";"Berkelland";1309;114;1312;81
"2019";"Berkelland";1306;151;1341;118
"2020";"Berkelland";1436;136;1228;78
"2021";"Berkelland";1337;102;1229;73
"2022";"Berkelland";1366;309;1198;140
"2023";"Berkelland";1316;280;1352;168
"2002";"Bernheze";745;90;874;64
"2003";"Bernheze";722;72;885;83
"2004";"Bernheze";975;53;791;60
"2005";"Bernheze";1152;63;941;66
"2006";"Bernheze";926;54;927;80
"2007";"Bernheze";873;74;1000;56
"2008";"Bernheze";834;98;1051;44
"2009";"Bernheze";843;106;957;40
"2010";"Bernheze";873;116;916;82
"2011";"Bernheze";810;180;906;97
"2012";"Bernheze";927;147;1061;80
"2013";"Bernheze";875;153;1027;114
"2014";"Bernheze";1054;146;1027;123
"2015";"Bernheze";1239;150;1098;110
"2016";"Bernheze";1342;190;1060;97
"2017";"Bernheze";1448;228;1257;127
"2018";"Bernheze";1303;264;1187;107
"2019";"Bernheze";1440;316;1111;220
"2020";"Bernheze";1399;267;1217;172
"2021";"Bernheze";1580;241;1346;193
"2022";"Bernheze";1440;491;1097;256
"2023";"Bernheze";1246;467;1175;235
"2002";"Bernisse";392;24;465;9
"2003";"Bernisse";308;18;407;21
"2004";"Bernisse";342;23;418;23
"2005";"Bernisse";381;28;387;43
"2006";"Bernisse";358;15;387;27
"2007";"Bernisse";339;17;458;32
"2008";"Bernisse";400;36;419;42
"2009";"Bernisse";284;21;395;26
"2010";"Bernisse";334;42;420;26
"2011";"Bernisse";374;41;371;39
"2012";"Bernisse";321;27;344;31
"2013";"Bernisse";330;33;396;21
"2014";"Bernisse";292;32;401;20
"2015";"Bernisse";;;;
"2016";"Bernisse";;;;
"2017";"Bernisse";;;;
"2018";"Bernisse";;;;
"2019";"Bernisse";;;;
"2020";"Bernisse";;;;
"2021";"Bernisse";;;;
"2022";"Bernisse";;;;
"2023";"Bernisse";;;;
"2002";"Best";1454;182;916;169
"2003";"Best";1038;113;906;109
"2004";"Best";990;130;896;178
"2005";"Best";847;97;934;132
"2006";"Best";848;132;1039;146
"2007";"Best";878;130;914;158
"2008";"Best";845;166;1068;143
"2009";"Best";703;151;908;133
"2010";"Best";657;148;922;131
"2011";"Best";726;129;939;132
"2012";"Best";745;176;921;115
"2013";"Best";781;128;855;111
"2014";"Best";908;189;867;146
"2015";"Best";1040;183;898;125
"2016";"Best";1124;163;991;123
"2017";"Best";1179;333;1078;160
"2018";"Best";1188;311;1070;175
"2019";"Best";1115;324;1080;191
"2020";"Best";1362;304;1228;217
"2021";"Best";1418;326;1267;204
"2022";"Best";1239;448;1147;267
"2023";"Best";1283;499;1206;300
"2002";"Beuningen";842;133;1116;98
"2003";"Beuningen";931;72;984;100
"2004";"Beuningen";853;70;1121;132
"2005";"Beuningen";840;49;1092;93
"2006";"Beuningen";1152;66;1083;71
"2007";"Beuningen";1106;65;1055;91
"2008";"Beuningen";1022;73;1052;102
"2009";"Beuningen";960;97;889;101
"2010";"Beuningen";916;67;922;84
"2011";"Beuningen";830;88;932;87
"2012";"Beuningen";792;88;959;70
"2013";"Beuningen";908;72;1021;49
"2014";"Beuningen";915;88;1014;48
"2015";"Beuningen";1124;85;1168;62
"2016";"Beuningen";1290;92;1226;69
"2017";"Beuningen";1512;110;1230;54
"2018";"Beuningen";1208;80;1171;74
"2019";"Beuningen";1101;109;1131;69
"2020";"Beuningen";1278;90;1128;35
"2021";"Beuningen";1121;63;1065;61
"2022";"Beuningen";1132;305;1014;93
"2023";"Beuningen";1203;108;1018;126
"2002";"Beverwijk";2089;180;1550;150
"2003";"Beverwijk";1951;197;1542;157
"2004";"Beverwijk";1335;181;1592;172
"2005";"Beverwijk";1630;159;2132;126
"2006";"Beverwijk";1895;117;1766;125
"2007";"Beverwijk";2055;201;1672;156
"2008";"Beverwijk";2270;311;1611;108
"2009";"Beverwijk";2091;298;1671;214
"2010";"Beverwijk";1711;313;1451;266
"2011";"Beverwijk";1878;360;1577;229
"2012";"Beverwijk";1821;329;1724;277
"2013";"Beverwijk";1552;333;1651;294
"2014";"Beverwijk";1716;324;1759;338
"2015";"Beverwijk";1994;394;1939;375
"2016";"Beverwijk";2217;371;1977;305
"2017";"Beverwijk";2237;371;1945;384
"2018";"Beverwijk";2013;448;1949;403
"2019";"Beverwijk";2212;432;1886;369
"2020";"Beverwijk";2224;419;2097;291
"2021";"Beverwijk";2123;329;1974;274
"2022";"Beverwijk";2371;588;2014;340
"2023";"Beverwijk";1956;563;1999;363
"2002";"het Bildt";503;17;441;19
"2003";"het Bildt";765;84;467;22
"2004";"het Bildt";524;29;512;87
"2005";"het Bildt";558;28;525;84
"2006";"het Bildt";493;24;563;46
"2007";"het Bildt";502;52;598;36
"2008";"het Bildt";388;204;654;28
"2009";"het Bildt";405;135;519;40
"2010";"het Bildt";465;175;564;73
"2011";"het Bildt";384;160;626;90
"2012";"het Bildt";358;187;647;80
"2013";"het Bildt";320;402;707;65
"2014";"het Bildt";434;484;883;79
"2015";"het Bildt";513;353;847;69
"2016";"het Bildt";602;243;847;30
"2017";"het Bildt";787;164;761;99
"2018";"het Bildt";;;;
"2019";"het Bildt";;;;
"2020";"het Bildt";;;;
"2021";"het Bildt";;;;
"2022";"het Bildt";;;;
"2023";"het Bildt";;;;
"2002";"De Bilt";1978;275;1975;251
"2003";"De Bilt";2070;177;2095;213
"2004";"De Bilt";2029;182;2019;195
"2005";"De Bilt";2046;137;2027;232
"2006";"De Bilt";2144;180;2124;144
"2007";"De Bilt";2077;194;2039;187
"2008";"De Bilt";2057;237;2041;176
"2009";"De Bilt";1922;257;1789;202
"2010";"De Bilt";1938;283;1918;165
"2011";"De Bilt";1882;264;1762;202
"2012";"De Bilt";1950;251;1857;245
"2013";"De Bilt";2089;239;1912;222
"2014";"De Bilt";2388;252;2170;201
"2015";"De Bilt";2666;257;2281;246
"2016";"De Bilt";2871;259;2358;196
"2017";"De Bilt";2527;293;2401;189
"2018";"De Bilt";2417;328;2398;197
"2019";"De Bilt";2565;379;2250;230
"2020";"De Bilt";2777;284;2453;198
"2021";"De Bilt";2503;293;2376;168
"2022";"De Bilt";2354;534;2135;241
"2023";"De Bilt";2357;402;2456;246
"2002";"Binnenmaas";667;35;726;54
"2003";"Binnenmaas";639;47;697;48
"2004";"Binnenmaas";889;35;698;46
"2005";"Binnenmaas";774;32;670;53
"2006";"Binnenmaas";677;32;728;51
"2007";"Binnenmaas";1088;66;1005;79
"2008";"Binnenmaas";989;125;1058;65
"2009";"Binnenmaas";898;99;1003;68
"2010";"Binnenmaas";899;143;956;114
"2011";"Binnenmaas";1010;162;1078;150
"2012";"Binnenmaas";980;211;1129;96
"2013";"Binnenmaas";877;93;1114;114
"2014";"Binnenmaas";886;70;980;53
"2015";"Binnenmaas";964;142;911;85
"2016";"Binnenmaas";1466;270;1339;48
"2017";"Binnenmaas";1617;76;1609;126
"2018";"Binnenmaas";1283;77;1051;67
"2019";"Binnenmaas";;;;
"2020";"Binnenmaas";;;;
"2021";"Binnenmaas";;;;
"2022";"Binnenmaas";;;;
"2023";"Binnenmaas";;;;
"2002";"Bladel";457;91;471;140
"2003";"Bladel";497;61;539;95
"2004";"Bladel";435;63;499;107
"2005";"Bladel";521;45;584;63
"2006";"Bladel";544;92;644;146
